INFO 2021-12-18 16:28:31,325 autoreload 578 Watching for file changes with StatReloader
INFO 2021-12-18 16:28:49,660 autoreload 578 Watching for file changes with StatReloader
INFO 2021-12-18 16:29:16,812 autoreload 578 Watching for file changes with StatReloader
INFO 2021-12-18 16:29:34,871 autoreload 578 Watching for file changes with StatReloader
INFO 2021-12-18 16:38:38,911 autoreload 578 Watching for file changes with StatReloader
WARNING 2021-12-18 16:38:41,368 basehttp 154 "GET / HTTP/1.1" 404 2027
INFO 2021-12-18 16:38:46,558 basehttp 154 "GET /users/register HTTP/1.1" 200 2986
INFO 2021-12-18 16:38:46,595 basehttp 154 "GET /static/users/css/reset.css HTTP/1.1" 200 638
INFO 2021-12-18 16:38:46,601 basehttp 154 "GET /static/users/css/main.css HTTP/1.1" 304 0
INFO 2021-12-18 16:38:46,603 basehttp 154 "GET /static/users/images/pic_code.jpg HTTP/1.1" 304 0
INFO 2021-12-18 16:38:46,604 basehttp 154 "GET /static/users/images/1.png HTTP/1.1" 304 0
INFO 2021-12-18 16:38:46,618 basehttp 154 "GET /static/users/images/register_banner.png HTTP/1.1" 304 0
INFO 2021-12-18 16:38:46,618 basehttp 154 "GET /static/users/images/interval_line.png HTTP/1.1" 304 0
INFO 2021-12-18 16:38:46,618 basehttp 154 "GET /static/users/images/icons02.png HTTP/1.1" 304 0
WARNING 2021-12-18 16:38:49,120 basehttp 154 "GET /users/index.html HTTP/1.1" 404 2318
